"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"266H9M9V","book","2010","Regester, Charlene B","African American actresses the struggle for visibility, 1900-1960","","978-0-253-00431-4 978-1-282-66329-9","","","http://public.eblib.com/choice/publicfullrecord.aspx?p=547023","Nine actresses, from Madame Sul-Te-Wan in Birth of a Nation (1915) to Ethel Waters in Member of the Wedding (1952), are profiled in African American Actresses. Charlene Regester poses questions about prevailing racial politics, on-screen and off-screen identities, and black stardom and white stardom. She reveals how these women fought for their roles as well as what they compromised (or didn't compromise). Regester repositions these actresses to highlight their contributions to cinema in the first half of.","2010","2016-04-19 20:34:49","2016-04-19 20:34:49","2016-04-19 20:34:49","","","","","","","","","","","","Indiana University Press","Bloomington","English","","","","","Open WorldCat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2AUM3IFZ","journalArticle","2000","Butters, Jr., Gerald R.","From Homestead to Lynch Mob: Portrayals of Black Masculinity in Oscar Micheaux’s Within Our Gates","Journal for MultiMedia History,","","","","","","2000","2016-04-14 21:43:23","2016-04-14 21:45:12","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"389MT2VT","webpage","","","The Black Film Center/Archive | Indiana University Bloomington","","","","","http://www.indiana.edu/~bfca/home/","","","2016-04-14 21:10:33","2016-04-14 21:10:33","2016-04-14 21:10:33","","","","","","","","","","","","","","","","","","","","","","","/Users/karlacontreras/Library/Application Support/Zotero/Profiles/v1v2wix2.default/zotero/storage/PBQPJNJF/home.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3H2HCKMB","book","2003","Massood, Paula J","Black city cinema: African American urban experiences in film","","978-1-59213-002-3 978-1-59213-003-0","","","","This work shows how popular films reflected the massive social changes that resulted from the Great Migration of African Americans from the rural south to cities in the North, West, and Mid-West during the first three decades of the 20th century. By the onset of the Depression, the Black population had become primarily urban, transforming individual lives as well as urban experience and culture. The text probes into the relationship of place and time, showing how urban settings became an intrinsic element of African American film as Black people became more firmly rooted in urban spaces and more visible as historical and political subjects. Illuminating the intersections of film, history, politics, and urban discourse, it considers the chief genres of African American and Hollywood narrative film: the black cast musicals of the 1920s and the ""race"" films of the early sound era to blaxploitation and the hood films as well as the work of Spike Lee toward the end of the 20th century.","2003","2016-04-14 21:31:04","2016-04-14 21:31:04","","","","","","","","Black city cinema","","","","","Temple University Press","Philadelphia","English","","","","","Open WorldCat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3SMFQSFD","webpage","","","A rarity, resurrected: an all-black film from the silent era - Chicago Tribune","","","","","http://www.chicagotribune.com/entertainment/movies/ct-bert-williams-lime-kiln-club-blackface-20150507-column.html","","","2016-04-14 21:47:53","2016-04-14 21:47:53","2016-04-14 21:47:53","","","","","","","","","","","","","","","","","","","","","","","/Users/karlacontreras/Library/Application Support/Zotero/Profiles/v1v2wix2.default/zotero/storage/W3HMZ4R2/ct-bert-williams-lime-kiln-club-blackface-20150507-column.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48VXJVK6","book","2001","Bowser, Pearl; Gaines, Jane; Musser, Charles","Oscar Micheaux and His Circle: African-American Filmmaking and Race Cinema of the Silent Era","","978-0-253-33994-2","","","","","2001","2016-06-06 20:51:46","2016-06-06 20:51:46","","","","","","","","Oscar Micheaux and his circle","","","","","Indiana University Press","Bloomington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4VZ8ND4A","webpage","","","From Blackface to Blaxploitation: Representations of African Americans in Film - Duke Library Exhibits","","","","","http://exhibits.library.duke.edu/exhibits/show/africanamericansinfilm/racefilms","","","2016-04-14 21:10:49","2016-04-14 21:10:49","2016-04-14 21:10:49","","","","","","","","","","","","","","","","","","","","","","","/Users/karlacontreras/Library/Application Support/Zotero/Profiles/v1v2wix2.default/zotero/storage/CTCQV7RR/racefilms.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4XNQ9ECB","book","2014","Lupack, Barbara","Richard E. Norman and race filmmaking","","978-0-253-01072-8","","","","","2014","2016-04-14 21:18:46","2016-04-14 21:18:46","","","","","","","","","","","","","","","","","","","","","","","","/Users/karlacontreras/Library/Application Support/Zotero/Profiles/v1v2wix2.default/zotero/storage/CCXEQ68W/868971231&referer=brief_results.html","","added","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54NVQK27","webpage","","","Black Film Research Online","","","","","http://bfro.uchicago.edu/","","","2016-04-14 21:07:36","2016-04-14 21:07:36","2016-04-14 21:07:36","","","","","","","","","","","","","","","","","","","","","","","/Users/karlacontreras/Library/Application Support/Zotero/Profiles/v1v2wix2.default/zotero/storage/8MKNVB3A/bfro.uchicago.edu.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"598NRF3U","book","1993","Reid, Mark","Redefining Black film","","978-0-520-91284-7 978-0-585-27466-9 978-0-520-07901-4","","","http://hdl.handle.net/2027/heb.08138","This assessment of black film history distinguishes between American films that are controlled by Blacks and those which utilize black talent, but are controlled by Whites. The study ranges from the earliest black involvement in Hollywood to present feminist influences in black productions.","1993","2016-04-14 21:20:53","2016-04-14 21:20:53","2016-04-14 21:20:53","","","","","","","","","","","","University of California Press","Berkeley","English","","","","","Open WorldCat","","","","","","added","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
